DS,Y,Volume
09.12.2022,0.859,225.03K
08.12.2022,0.8626,262.73K
07.12.2022,0.8609,280.19K
06.12.2022,0.8624,238.32K
05.12.2022,0.8605,254.76K
02.12.2022,0.857,229.49K
01.12.2022,0.8593,279.93K
30.11.2022,0.8628,281.66K
29.11.2022,0.8637,207.27K
28.11.2022,0.8644,205.87K
25.11.2022,0.8593,181.63K
24.11.2022,0.8592,215.39K
23.11.2022,0.8622,204.37K
22.11.2022,0.8667,217.17K
21.11.2022,0.866,226.47K
18.11.2022,0.8681,253.63K
17.11.2022,0.8731,253.96K
16.11.2022,0.8724,266.59K
15.11.2022,0.8723,277.51K
14.11.2022,0.8783,257.09K
11.11.2022,0.8744,285.20K
10.11.2022,0.8712,294.16K
09.11.2022,0.8813,273.28K
08.11.2022,0.8728,254.88K
07.11.2022,0.8699,246.14K
04.11.2022,0.8752,242.49K
03.11.2022,0.873,216.16K
02.11.2022,0.8615,207.38K
01.11.2022,0.8596,202.14K
31.10.2022,0.8615,209.05K
28.10.2022,0.8577,218.92K
27.10.2022,0.8612,282.53K
26.10.2022,0.8665,240.56K
25.10.2022,0.8682,219.01K
24.10.2022,0.8754,256.81K
21.10.2022,0.8721,245.03K
20.10.2022,0.87,275.78K
19.10.2022,0.8706,252.82K
18.10.2022,0.8704,279.88K
17.10.2022,0.8658,248.24K
14.10.2022,0.8699,300.49K
13.10.2022,0.8628,257.16K
12.10.2022,0.8743,272.78K
11.10.2022,0.8844,299.16K
10.10.2022,0.8773,279.27K
07.10.2022,0.8785,234.09K
06.10.2022,0.8769,264.95K
05.10.2022,0.8722,263.21K
04.10.2022,0.8698,248.32K
03.10.2022,0.8673,269.63K
30.09.2022,0.8777,263.09K
29.09.2022,0.8827,267.23K
28.09.2022,0.8937,293.07K
27.09.2022,0.8936,289.99K
26.09.2022,0.8988,290.38K
23.09.2022,0.8923,246.78K
22.09.2022,0.8735,272.48K
21.09.2022,0.8726,219.82K
20.09.2022,0.8758,196.01K
19.09.2022,0.8763,160.21K
16.09.2022,0.8773,203.89K
15.09.2022,0.872,189.93K
14.09.2022,0.8651,229.66K
13.09.2022,0.8672,205.87K
12.09.2022,0.866,159.25K
09.09.2022,0.8661,212.44K
08.09.2022,0.8687,225.35K
07.09.2022,0.8672,220.48K
06.09.2022,0.8597,265.04K
05.09.2022,0.8619,187.07K
02.09.2022,0.8645,192.30K
01.09.2022,0.8611,228.29K
31.08.2022,0.8651,218.99K
30.08.2022,0.8589,232.60K
29.08.2022,0.8534,159.32K
26.08.2022,0.8477,158.40K
25.08.2022,0.8427,214.31K
24.08.2022,0.8442,178.86K
23.08.2022,0.8422,209.06K
22.08.2022,0.8447,222.73K
19.08.2022,0.8481,214.98K
18.08.2022,0.8453,216.14K
17.08.2022,0.8448,214.78K
16.08.2022,0.8407,186.03K
15.08.2022,0.8426,165.75K
12.08.2022,0.8454,222.87K
11.08.2022,0.8445,223.03K
10.08.2022,0.8421,253.67K
09.08.2022,0.845,223.09K
08.08.2022,0.8436,178.04K
05.08.2022,0.8432,213.07K
04.08.2022,0.8422,213.83K
03.08.2022,0.8367,212.24K
02.08.2022,0.8351,253.80K
01.08.2022,0.8375,216.11K
29.07.2022,0.8397,212.04K
28.07.2022,0.837,254.63K
27.07.2022,0.839,192.35K
26.07.2022,0.8408,203.18K
25.07.2022,0.8484,204.52K
22.07.2022,0.8504,188.81K
21.07.2022,0.8526,244.49K
20.07.2022,0.85,227.49K
19.07.2022,0.8522,201.86K
18.07.2022,0.8482,191.05K
15.07.2022,0.8508,207.80K
14.07.2022,0.8469,233.48K
13.07.2022,0.846,219.65K
12.07.2022,0.8442,221.66K
11.07.2022,0.8441,201.23K
08.07.2022,0.8464,239.47K
07.07.2022,0.8448,235.99K
06.07.2022,0.8535,254.74K
05.07.2022,0.8584,232.98K
04.07.2022,0.8608,182.36K
01.07.2022,0.862,182.84K
30.06.2022,0.8607,212.53K
29.06.2022,0.8607,231.22K
28.06.2022,0.8632,243.50K
27.06.2022,0.8627,212.71K
24.06.2022,0.8604,202.65K
23.06.2022,0.8581,269.31K
22.06.2022,0.861,203.02K
21.06.2022,0.8572,193.56K
20.06.2022,0.8576,185.92K
17.06.2022,0.8586,247.77K
16.06.2022,0.8536,315.73K
15.06.2022,0.8572,246.37K
14.06.2022,0.8679,225.21K
13.06.2022,0.8576,191.19K
10.06.2022,0.8536,181.66K
09.06.2022,0.8494,183.44K
08.06.2022,0.8542,160.94K
07.06.2022,0.8497,171.29K
06.06.2022,0.8531,160.68K
03.06.2022,0.8581,107.92K
02.06.2022,0.8542,135.58K
01.06.2022,0.8523,157.12K
31.05.2022,0.8516,185.48K
30.05.2022,0.8517,139.55K
27.05.2022,0.85,171.83K
26.05.2022,0.8512,183.42K
25.05.2022,0.8498,209.54K
24.05.2022,0.8565,192.25K
23.05.2022,0.8489,179.84K
20.05.2022,0.8455,198.52K
19.05.2022,0.8494,215.44K
18.05.2022,0.8479,202.21K
17.05.2022,0.8442,203.55K
16.05.2022,0.8466,183.13K
13.05.2022,0.8488,197.06K
12.05.2022,0.8505,259.26K
11.05.2022,0.8578,239.01K
10.05.2022,0.854,208.40K
09.05.2022,0.8557,172.23K
06.05.2022,0.855,221.33K
05.05.2022,0.8522,219.71K
04.05.2022,0.8413,172.30K
03.05.2022,0.8415,170.55K
02.05.2022,0.8405,123.04K
29.04.2022,0.8383,209.81K
28.04.2022,0.8426,196.65K
27.04.2022,0.8409,192.99K
26.04.2022,0.8455,212.59K
25.04.2022,0.8405,229.97K
22.04.2022,0.8406,187.61K
21.04.2022,0.8316,228.06K
20.04.2022,0.8302,204.46K
19.04.2022,0.8296,179.74K
18.04.2022,0.8282,109.36K
15.04.2022,0.8273,169.13K
14.04.2022,0.8286,201.23K
13.04.2022,0.8297,188.33K
12.04.2022,0.8325,149.97K
11.04.2022,0.8352,141.09K
08.04.2022,0.8344,143.99K
07.04.2022,0.8319,149.70K
06.04.2022,0.8334,155.93K
05.04.2022,0.8339,134.26K
04.04.2022,0.8363,167.12K
01.04.2022,0.8427,240.49K
31.03.2022,0.8422,177.77K
30.03.2022,0.8494,187.70K
29.03.2022,0.8466,204.76K
28.03.2022,0.8388,152.83K
25.03.2022,0.833,149.64K
24.03.2022,0.8335,145.15K
23.03.2022,0.8332,156.23K
22.03.2022,0.8313,174.14K
21.03.2022,0.8361,146.03K
18.03.2022,0.8383,147.90K
17.03.2022,0.8433,192.48K
16.03.2022,0.8387,206.85K
15.03.2022,0.8397,204.43K
14.03.2022,0.8412,167.74K
11.03.2022,0.8366,216.57K
10.03.2022,0.8392,214.92K
09.03.2022,0.8401,231.48K
08.03.2022,0.8315,235.51K
07.03.2022,0.828,238.04K
04.03.2022,0.8259,209.46K
03.03.2022,0.8285,195.28K
02.03.2022,0.8293,186.85K
01.03.2022,0.8347,211.96K
28.02.2022,0.8358,205.16K
25.02.2022,0.8403,187.03K
24.02.2022,0.8365,248.45K
23.02.2022,0.8349,162.07K
22.02.2022,0.8333,194.49K
21.02.2022,0.8315,128.53K
18.02.2022,0.8328,165.30K
17.02.2022,0.8339,193.23K
16.02.2022,0.837,174.58K
15.02.2022,0.8386,171.93K
14.02.2022,0.8356,182.90K
11.02.2022,0.8367,199.20K
10.02.2022,0.8428,191.48K
09.02.2022,0.8438,154.03K
08.02.2022,0.8427,211.57K
07.02.2022,0.8452,179.11K
04.02.2022,0.8458,197.10K
03.02.2022,0.841,168.85K
02.02.2022,0.8321,123.29K
01.02.2022,0.8333,133.79K
31.01.2022,0.835,138.32K
28.01.2022,0.8311,159.42K
27.01.2022,0.8323,167.75K
26.01.2022,0.8345,158.03K
25.01.2022,0.8365,191.30K
24.01.2022,0.8394,210.10K
21.01.2022,0.8364,161.76K
20.01.2022,0.8314,170.51K
19.01.2022,0.8333,205.62K
18.01.2022,0.8329,233.27K
17.01.2022,0.8357,151.96K
14.01.2022,0.8345,156.50K
13.01.2022,0.8355,147.19K
12.01.2022,0.8349,133.87K
11.01.2022,0.8334,129.78K
10.01.2022,0.8339,125.77K
07.01.2022,0.8357,106.10K
06.01.2022,0.8342,159.35K
05.01.2022,0.8344,104.07K
04.01.2022,0.8339,108.84K
03.01.2022,0.8381,79.86K
31.12.2021,0.84,89.63K
30.12.2021,0.8388,90.88K
29.12.2021,0.8412,100.31K
28.12.2021,0.8416,100.12K
27.12.2021,0.8424,78.54K
24.12.2021,0.8452,138.36K
23.12.2021,0.8447,131.71K
22.12.2021,0.848,133.02K
21.12.2021,0.8501,166.01K
20.12.2021,0.8536,171.55K
17.12.2021,0.8487,161.52K
16.12.2021,0.8503,160.11K
15.12.2021,0.8507,204.16K
14.12.2021,0.8501,252.53K
13.12.2021,0.8534,172.85K
10.12.2021,0.8521,189.67K
09.12.2021,0.854,197.72K
08.12.2021,0.8584,284.54K
07.12.2021,0.8505,291.26K
06.12.2021,0.8506,221.81K
03.12.2021,0.8548,173.97K
02.12.2021,0.8488,188.64K
01.12.2021,0.8522,246.38K
30.11.2021,0.8522,279.35K
29.11.2021,0.8478,183.17K
26.11.2021,0.8483,258.08K
25.11.2021,0.841,189.01K
24.11.2021,0.8398,186.36K
23.11.2021,0.8404,223.84K
22.11.2021,0.8385,280.47K
19.11.2021,0.8389,153.62K
18.11.2021,0.8424,218.73K
17.11.2021,0.8394,205.87K
16.11.2021,0.8428,185.73K
15.11.2021,0.8469,165.91K
12.11.2021,0.8534,149.47K
11.11.2021,0.8561,142.57K
10.11.2021,0.8561,177.01K
09.11.2021,0.8549,148.56K
08.11.2021,0.8543,155.56K
05.11.2021,0.8567,159.21K
04.11.2021,0.8556,207.73K
03.11.2021,0.8482,198.12K
02.11.2021,0.8501,186.05K
01.11.2021,0.8491,175.73K
29.10.2021,0.8442,175.53K
28.10.2021,0.8469,195.90K
27.10.2021,0.8439,151.19K
26.10.2021,0.8419,141.78K
25.10.2021,0.8428,158.36K
22.10.2021,0.8467,154.03K
21.10.2021,0.8424,138.04K
20.10.2021,0.8426,132.24K
19.10.2021,0.843,124.82K
18.10.2021,0.8456,151.61K
15.10.2021,0.8432,154.91K
14.10.2021,0.8477,112.43K
13.10.2021,0.8485,184.29K
12.10.2021,0.8481,126.46K
11.10.2021,0.8495,134.38K
08.10.2021,0.8496,127.13K
07.10.2021,0.848,141.65K
06.10.2021,0.8508,165.87K
05.10.2021,0.8506,174.62K
04.10.2021,0.8536,128.58K
01.10.2021,0.8557,135.79K
30.09.2021,0.8594,175.86K
29.09.2021,0.8633,159.13K
28.09.2021,0.8628,176.98K
27.09.2021,0.8535,132.65K
24.09.2021,0.8565,142.39K
23.09.2021,0.8554,155.83K
22.09.2021,0.8574,166.25K
21.09.2021,0.858,147.93K
20.09.2021,0.8583,141.84K
17.09.2021,0.853,129.56K
16.09.2021,0.853,172.14K
15.09.2021,0.8537,139.27K
14.09.2021,0.8544,150.01K
13.09.2021,0.8534,118.73K
10.09.2021,0.8534,153.72K
09.09.2021,0.8545,138.51K
08.09.2021,0.8576,169.97K
07.09.2021,0.8584,162.89K
06.09.2021,0.8576,105.42K
03.09.2021,0.8568,160.71K
02.09.2021,0.8581,132.28K
01.09.2021,0.8596,154.04K
31.08.2021,0.8582,143.56K
30.08.2021,0.8571,97.65K
27.08.2021,0.857,179.62K
26.08.2021,0.8575,144.68K
25.08.2021,0.8552,132.46K
24.08.2021,0.8559,93.44K
23.08.2021,0.8558,113.24K
20.08.2021,0.8585,139.98K
19.08.2021,0.8557,160.36K
18.08.2021,0.8511,137.37K
17.08.2021,0.8521,129.34K
16.08.2021,0.8501,135.66K
13.08.2021,0.8503,119.26K
12.08.2021,0.8494,139.07K
11.08.2021,0.8458,127.72K
10.08.2021,0.8462,215.08K
09.08.2021,0.8476,135.90K
06.08.2021,0.8476,125.34K
05.08.2021,0.8493,149.88K
04.08.2021,0.8519,140.25K
03.08.2021,0.8521,125.54K
02.08.2021,0.8547,107.20K
30.07.2021,0.8536,135.75K
29.07.2021,0.8511,162.87K
28.07.2021,0.8518,179.21K
27.07.2021,0.851,139.42K
26.07.2021,0.8538,111.40K
23.07.2021,0.8562,145.95K
22.07.2021,0.8546,147.09K
21.07.2021,0.8599,143.95K
20.07.2021,0.8642,203.53K
19.07.2021,0.8626,184.34K
16.07.2021,0.8573,162.98K
15.07.2021,0.854,165.82K
14.07.2021,0.8538,130.81K
13.07.2021,0.8522,130.85K
12.07.2021,0.8541,177.56K
09.07.2021,0.854,146.08K
08.07.2021,0.8589,154.91K
07.07.2021,0.854,146.26K
06.07.2021,0.8564,209.02K
05.07.2021,0.8565,114.57K
02.07.2021,0.8582,131.29K
01.07.2021,0.8604,126.08K
30.06.2021,0.8571,140.37K
29.06.2021,0.8595,133.79K
28.06.2021,0.8586,113.85K
25.06.2021,0.8597,138.46K
24.06.2021,0.8567,164.87K
23.06.2021,0.8538,137.92K
22.06.2021,0.8557,159.31K
21.06.2021,0.8548,203.90K
18.06.2021,0.8586,222.59K
17.06.2021,0.8551,182.89K
16.06.2021,0.8573,156.20K
15.06.2021,0.8607,138.60K
14.06.2021,0.8586,129.46K
11.06.2021,0.858,147.54K
10.06.2021,0.8582,153.70K
09.06.2021,0.8623,130.84K
08.06.2021,0.8596,143.60K
07.06.2021,0.8595,124.63K
04.06.2021,0.8592,140.90K
03.06.2021,0.8594,139.79K
02.06.2021,0.8615,173.21K
01.06.2021,0.8628,168.54K
31.05.2021,0.86,165.99K
28.05.2021,0.8591,162.97K
27.05.2021,0.8582,222.08K
26.05.2021,0.8632,202.43K
25.05.2021,0.8654,211.92K
24.05.2021,0.8625,185.95K
21.05.2021,0.8606,207.82K
20.05.2021,0.8614,206.01K
19.05.2021,0.8622,216.96K
18.05.2021,0.8612,207.57K
17.05.2021,0.8595,164.21K
14.05.2021,0.861,159.13K
13.05.2021,0.8594,197.72K
12.05.2021,0.8588,194.61K
11.05.2021,0.8587,233.09K
10.05.2021,0.8585,221.42K
07.05.2021,0.8703,176.36K
06.05.2021,0.8685,208.02K
05.05.2021,0.8632,227.99K
04.05.2021,0.865,215.44K
03.05.2021,0.8669,138.81K
30.04.2021,0.8697,194.10K
29.04.2021,0.869,185.12K
28.04.2021,0.8699,174.81K
27.04.2021,0.8687,221.67K
26.04.2021,0.8689,196.56K
23.04.2021,0.8718,179.67K
22.04.2021,0.8681,213.35K
21.04.2021,0.8638,210.55K
20.04.2021,0.8633,203.60K
19.04.2021,0.8601,167.39K
16.04.2021,0.8663,210.22K
15.04.2021,0.8677,234.79K
14.04.2021,0.869,205.00K
13.04.2021,0.8688,198.59K
12.04.2021,0.8665,192.56K
09.04.2021,0.868,172.27K
08.04.2021,0.8672,187.00K
07.04.2021,0.864,226.99K
06.04.2021,0.8588,177.97K
05.04.2021,0.8497,111.27K
02.04.2021,0.8502,123.28K
01.04.2021,0.851,242.72K
31.03.2021,0.8507,235.84K
30.03.2021,0.8524,176.05K
29.03.2021,0.8544,200.79K
26.03.2021,0.8552,200.01K
25.03.2021,0.8564,219.90K
24.03.2021,0.8627,245.20K
23.03.2021,0.8614,210.56K
22.03.2021,0.8607,190.11K
19.03.2021,0.8579,232.37K
18.03.2021,0.8557,228.83K
17.03.2021,0.8576,218.74K
16.03.2021,0.8565,200.32K
15.03.2021,0.8583,217.47K
12.03.2021,0.8582,245.88K
11.03.2021,0.8564,231.78K
10.03.2021,0.8559,251.28K
09.03.2021,0.8562,286.14K
08.03.2021,0.8565,277.04K
05.03.2021,0.8607,271.95K
04.03.2021,0.8609,297.38K
03.03.2021,0.8642,278.29K
02.03.2021,0.8662,269.08K
01.03.2021,0.865,301.14K
26.02.2021,0.8664,336.07K
25.02.2021,0.8687,369.00K
24.02.2021,0.8599,267.72K
23.02.2021,0.8608,296.13K
22.02.2021,0.8641,232.60K
19.02.2021,0.8644,267.53K
18.02.2021,0.8647,279.74K
17.02.2021,0.8689,317.77K
16.02.2021,0.8705,293.91K
15.02.2021,0.8721,210.07K
12.02.2021,0.8753,234.31K
11.02.2021,0.8777,264.56K
10.02.2021,0.8756,316.04K
09.02.2021,0.8769,291.95K
08.02.2021,0.8767,289.16K
05.02.2021,0.8766,257.92K
04.02.2021,0.8748,259.82K
03.02.2021,0.8817,273.69K
02.02.2021,0.8809,312.31K
01.02.2021,0.8825,300.58K
29.01.2021,0.8856,367.37K
28.01.2021,0.8833,378.54K
27.01.2021,0.8847,315.83K
26.01.2021,0.8848,234.49K
25.01.2021,0.8874,249.27K
22.01.2021,0.8889,280.90K
21.01.2021,0.8855,295.01K
20.01.2021,0.8863,271.12K
19.01.2021,0.8896,251.22K
18.01.2021,0.8887,225.39K
15.01.2021,0.8887,259.81K
14.01.2021,0.8879,260.15K
13.01.2021,0.8912,259.92K
12.01.2021,0.893,273.81K
11.01.2021,0.8987,272.77K
08.01.2021,0.9006,239.36K
07.01.2021,0.9043,266.55K
06.01.2021,0.9055,259.85K
05.01.2021,0.9023,262.94K
04.01.2021,0.9023,232.33K
01.01.2021,0.8875,1.47K
31.12.2020,0.8929,241.30K
30.12.2020,0.9023,251.71K
29.12.2020,0.907,231.61K
28.12.2020,0.908,183.70K
25.12.2020,0.9005,15.90K
24.12.2020,0.8991,292.92K
23.12.2020,0.9029,371.22K
22.12.2020,0.91,350.23K
21.12.2020,0.9086,332.12K
18.12.2020,0.9062,262.47K
17.12.2020,0.9028,274.71K
16.12.2020,0.9027,286.80K
15.12.2020,0.9025,243.01K
14.12.2020,0.9112,201.26K
11.12.2020,0.9156,225.01K
10.12.2020,0.9128,233.40K
09.12.2020,0.9015,253.76K
08.12.2020,0.906,288.69K
07.12.2020,0.9048,265.22K
04.12.2020,0.9017,281.81K
03.12.2020,0.903,297.10K
02.12.2020,0.9062,249.06K
01.12.2020,0.8995,236.71K
30.11.2020,0.8952,207.81K
27.11.2020,0.8982,220.03K
26.11.2020,0.8915,209.10K
25.11.2020,0.89,255.75K
24.11.2020,0.8897,237.37K
23.11.2020,0.8886,230.27K
20.11.2020,0.8921,251.09K
19.11.2020,0.8951,276.57K
18.11.2020,0.8928,279.03K
17.11.2020,0.8952,244.13K
16.11.2020,0.898,223.60K
13.11.2020,0.897,273.25K
12.11.2020,0.8998,311.12K
11.11.2020,0.8905,305.42K
10.11.2020,0.8899,338.05K
09.11.2020,0.8972,313.16K
06.11.2020,0.9022,316.68K
05.11.2020,0.8996,307.58K
04.11.2020,0.9025,318.94K
03.11.2020,0.8966,232.10K
02.11.2020,0.9008,223.38K
30.10.2020,0.8997,289.21K
29.10.2020,0.9029,314.13K
28.10.2020,0.9042,272.98K
27.10.2020,0.9041,220.13K
26.10.2020,0.9065,218.32K
23.10.2020,0.9092,253.16K
22.10.2020,0.903,248.72K
21.10.2020,0.9015,250.94K
20.10.2020,0.913,223.95K
19.10.2020,0.9085,205.19K
16.10.2020,0.9071,228.20K
15.10.2020,0.9062,233.36K
14.10.2020,0.9025,239.50K
13.10.2020,0.9078,259.95K
12.10.2020,0.9042,217.66K
09.10.2020,0.9061,239.10K
08.10.2020,0.9089,288.54K
07.10.2020,0.9101,273.75K
06.10.2020,0.9108,264.90K
05.10.2020,0.9075,210.24K
02.10.2020,0.9052,302.48K
01.10.2020,0.9111,304.28K
30.09.2020,0.9068,255.92K
29.09.2020,0.9127,229.99K
28.09.2020,0.9086,210.53K
25.09.2020,0.9122,274.36K
24.09.2020,0.9152,313.97K
23.09.2020,0.9162,301.93K
22.09.2020,0.9192,272.03K
21.09.2020,0.9182,270.82K
18.09.2020,0.9163,270.89K
17.09.2020,0.913,298.58K
16.09.2020,0.9109,233.73K
15.09.2020,0.9189,186.59K
14.09.2020,0.9237,160.58K
11.09.2020,0.9255,222.35K
10.09.2020,0.9224,234.50K
09.09.2020,0.9076,228.75K
08.09.2020,0.9069,227.61K
07.09.2020,0.8973,162.87K
04.09.2020,0.8911,227.31K
03.09.2020,0.892,238.84K
02.09.2020,0.8877,215.83K
01.09.2020,0.8897,223.54K
31.08.2020,0.8925,192.96K
28.08.2020,0.8913,234.95K
27.08.2020,0.8953,236.14K
26.08.2020,0.8954,207.25K
25.08.2020,0.8996,208.34K
24.08.2020,0.9022,186.35K
21.08.2020,0.9009,233.98K
20.08.2020,0.8973,254.28K
19.08.2020,0.9034,232.76K
18.08.2020,0.901,216.57K
17.08.2020,0.9057,189.16K
14.08.2020,0.9047,190.01K
13.08.2020,0.9041,207.80K
12.08.2020,0.9038,180.62K
11.08.2020,0.8995,208.66K
10.08.2020,0.8977,185.58K
07.08.2020,0.9028,221.44K
06.08.2020,0.9029,243.63K
05.08.2020,0.9042,209.72K
04.08.2020,0.9028,201.16K
03.08.2020,0.8994,212.91K
31.07.2020,0.8999,256.77K
30.07.2020,0.9045,262.60K
29.07.2020,0.9071,224.74K
28.07.2020,0.9057,233.63K
27.07.2020,0.9121,232.20K
24.07.2020,0.9108,252.61K
23.07.2020,0.9098,244.74K
22.07.2020,0.9083,227.91K
21.07.2020,0.9051,217.95K
20.07.2020,0.9037,207.65K
17.07.2020,0.909,222.91K
16.07.2020,0.9069,248.42K
15.07.2020,0.9067,243.97K
14.07.2020,0.9077,246.99K
13.07.2020,0.9029,205.18K
10.07.2020,0.895,208.70K
09.07.2020,0.8951,229.20K
08.07.2020,0.8981,230.70K
07.07.2020,0.8984,238.27K
06.07.2020,0.9051,202.89K
03.07.2020,0.9008,234.83K
02.07.2020,0.9013,245.87K
01.07.2020,0.9017,221.85K
30.06.2020,0.9055,255.79K
29.06.2020,0.9137,248.78K
26.06.2020,0.9092,252.27K
25.06.2020,0.903,275.93K
24.06.2020,0.9057,274.77K
23.06.2020,0.9029,283.09K
22.06.2020,0.9032,254.11K
19.06.2020,0.9041,269.14K
18.06.2020,0.9014,278.00K
17.06.2020,0.8952,298.26K
16.06.2020,0.8952,278.00K
15.06.2020,0.8981,273.89K
12.06.2020,0.8972,290.89K
11.06.2020,0.8962,310.51K
10.06.2020,0.8918,276.16K
09.06.2020,0.8906,263.14K
08.06.2020,0.8875,222.64K
05.06.2020,0.8908,258.37K
04.06.2020,0.8999,262.44K
03.06.2020,0.8931,284.71K
02.06.2020,0.8898,272.95K
01.06.2020,0.891,230.99K
29.05.2020,0.8988,262.17K
28.05.2020,0.8989,267.14K
27.05.2020,0.8979,264.60K
26.05.2020,0.8901,232.47K
25.05.2020,0.8936,152.09K
22.05.2020,0.8951,248.08K
21.05.2020,0.8956,224.58K
20.05.2020,0.8967,244.46K
19.05.2020,0.8911,238.10K
18.05.2020,0.8946,195.82K
15.05.2020,0.8932,227.99K
14.05.2020,0.8834,258.63K
13.05.2020,0.8842,251.80K
12.05.2020,0.8844,262.58K
11.05.2020,0.8756,217.34K
08.05.2020,0.8734,236.77K
07.05.2020,0.876,240.80K
06.05.2020,0.8744,214.07K
05.05.2020,0.8712,199.62K
04.05.2020,0.8763,179.72K
01.05.2020,0.8778,215.15K
30.04.2020,0.8697,264.41K
29.04.2020,0.872,258.64K
28.04.2020,0.8704,255.70K
27.04.2020,0.871,226.53K
24.04.2020,0.8746,249.56K
23.04.2020,0.8718,254.15K
22.04.2020,0.8773,237.96K
21.04.2020,0.8829,246.69K
20.04.2020,0.8732,229.40K
17.04.2020,0.8696,249.54K
16.04.2020,0.8697,252.53K
15.04.2020,0.8713,236.20K
14.04.2020,0.8696,226.73K
13.04.2020,0.8718,149.68K
10.04.2020,0.8777,121.38K
09.04.2020,0.877,254.75K
08.04.2020,0.8763,265.75K
07.04.2020,0.8828,300.01K
06.04.2020,0.8822,251.89K
03.04.2020,0.8813,272.70K
02.04.2020,0.8758,295.07K
01.04.2020,0.8855,268.27K
